Judul,Harga,Lokasi,Kamar,Wc,Parkir,Luas_tanah,Luas_bangunan,Deskripsi,Keywords
Perumahan di Pusat Kota Siyono Regency,Rp 250 Juta,"Wonosari, Gunung Kidul",2,1,1,60 m²,39 m²,"Rumah murah di Pusat kota, 100 m dari jalan raya Jogja - Wonosari. Tersedia type 39 dan 45, bisa...","Rumah
DP 0%"
Rumah Baru di Semanu Kabupaten Gunung Kidul,Rp 236 Juta,"Semanu, Gunung Kidul",2,1,1,60 m²,36 m²,"GRIYA ANUGRAH SEJAHTERA Hunian Eksklusif dekat kampus UNY Gunungkidul, mulai 200 Jutaan! Telah Hadir.....","Rumah
Dekat Sekolah"
Dijual Rumah di Pl Gunung Kidul Jogjakarta Cocok Untuk Investasi,Rp 508 Juta,"Playen, Gunung Kidul",2,1,1,79 m²,76 m²,"Dijual perumahan Puri Langgeng dekat objek wisata Ginung Kidul Jogjakarta, bagus untuk yg ingin ber...","Rumah
Dekat Sekolah
Dekat Tempat Wisata
Dekat Tempat Ibadah"
Rumah Strategis di Jirak Pinggir Jalan Raya Semin Gunungkidul,Rp 450 Juta,"Semin, Gunung Kidul",2,1,1,263 m²,100 m²,Rumah Strategis di Jirak Pinggir Jalan Raya Semin Gunungkidul. Aset Lelang powered by BRI....,Rumah
Tanah Dan Bangunan di Tancep Sambirejo Ngawen Gn.kidul,Rp 400 Juta,"Ngawen, Gunung Kidul",3,1,1,699 m²,200 m²,Tanah dan Bangunan di Tancep Sambirejo Ngawen Gn.kidul. Aset Lelang powered by BRI....,Rumah
Rumah Murah Siap Huni Dalam Cluster Di Patuk,Rp 320 Juta,"Patuk, Gunung Kidul",2,1,1,70 m²,36 m²,"RUMAH MURAH SIAP HUNI DALAM CLUSTER DI PATUK Lokasi : Patuk, Gunung Kidul, Yogyakarta Rumah murah...","Rumah
Full Furnished
Siap Huni"
Rumah Gaya Scandinavian di Karangmojo Gunungkidul Hanya 200Jt An,Rp 280 Juta,"Karangmojo, Gunung Kidul",2,1,1,105 m²,40 m²,Tersedia Kavling Murah Unit Terbatas: 100 m2 101 m2 102 m2 105 m2 Rumah Scandinavian di Karangmojo...,"Rumah
Dekat Fasilitas Kesehatan
Dekat Tempat Wisata"
Di Jual Harga Rendah Rumah Luas Di Daerah Duwet,Rp 800 Juta,"Wonosari, Gunung Kidul",3,3,1,408 m²,205 m²,"DI JUAL HARGA RENDAH RUMAH LUAS DI DAERAH DUWET, WONOSARI, GUNUNG KIDUL ""Rumah luas daerah Duwet,...","Rumah
Full Furnished
Siap Huni
Dekat Sekolah"
Rumah Scandinavian di Karangmojo Wonosari Strategis Bisa Kpr SHM,Rp 280 Juta,"Karangmojo, Gunung Kidul",2,1,1,100 m²,40 m²,Tersedia LT: 100 m2 = 280jt 101 m2 = 281jt 102 m2 = 282jt 105 m2 = 285jt Rumah Scandinavian Siap...,"Rumah
Dekat Sekolah
Dekat Fasilitas Kesehatan
Dekat Tempat Wisata"
Perumahan Mewah di Kota Wonosari Laura Regency Dp 0,Rp 290 Juta,"Wonosari, Gunung Kidul",2,1,1,95 m²,45 m²,RUMAH MEWAH DI KOTA WONOSARI Telah hadir hunian Mewah Harga Terjangkau berkelas Perumahan Laura Regency....,"Rumah
DP 0%
Dekat Fasilitas Kesehatan"
Rumah Modern Privat Pool di Dalam Perumahan Puri Langgeng Gunungkidul. Strategis Hanya 500 Meteran Ke Jl Jogja wonosari.,Rp 670 Juta,"Wonosari, Gunung Kidul",2,2,1,182 m²,90 m²,Dijual Rumah Modern dengan privat Pool di dalam perumahan Puri Langgeng Gunungkidul. Strategis Hanya...,Rumah
Dijual Rumah Cluster Bumilogandeng Asri Di Wonosari,Rp 335 Juta,"Playen, Gunung Kidul",2,1,1,80 m²,50 m²,CLUSTER BUMI LOGANDENG ASRI Type 50/80 Spesifikasi : - 2 Kamar Tidur - Kamar Mandi - Dapur - Ruang...,Rumah
RUMAH MINIMALIS UTARA RSUD WONOSARI,Rp 800 Juta,"Wonosari, Gunung Kidul",3,1,1,150 m²,90 m²,Rumah Dijual Gunung Kidul RUMAH 1 LANTAI DI KOTA WONOSARI LOKASI DEKAT DENGAN RSUD WONOSARI 500M...,"Rumah
Dekat Fasilitas Kesehatan"
"Rumah Baru Semi Furnished Shm, Wiladeg, Wonosari, Gunung Kidul",Rp 380 Juta,"Wonosari, Gunung Kidul",2,1,1,141 m²,40 m²,Dijual Kavling Siap Bangun MILIK KAMI SENDIRI Kami memberikan 2 opsi fleksibel: 1. bisa beli tanah...,"Rumah
Full Furnished
Dekat Sekolah
Dekat Fasilitas Kesehatan"
Di Jual Rumah / Tempat Usaha Playen Gunung Kidul,"Rp 2,5 Miliar","Playen, Gunung Kidul",2,1,5,510 m²,450 m²,Di jual rumah / tempat usaha siap pakai pinggir jalan raya Jl. Playen paliyen Pinggir jalan raya...,"Rumah
Siap Huni"
Dijual Rumah Atau Tempat Usaha Wonosari Kogja,Rp 5 Miliar,"Wonosari, Gunung Kidul",2,2,5,772 m²,650 m²,Di jual rumah atau tempat usaha siap pakai Jl. Pangarsan wonosari jogja Pinggir jalan raya Lt 772...,"Rumah
Siap Huni"
Rumah Scandinavian Murah di Karangmojo Dekat Rsi Gunung Kidul SHM,Rp 280 Juta,"Wonosari, Gunung Kidul",2,1,1,100 m²,40 m²,Promo Launching Perdana 200Juta-an! Spesial Booking Fee Bulan Ini (Bonus AC & Kanopi) KPR Angsuran...,"Rumah
Dekat Fasilitas Kesehatan
Dekat Tempat Wisata"
Bonus Canopi Ac Rumah Scandinavian di Karangmojo Wonosari Bs Kpr,Rp 280 Juta,"Wonosari, Gunung Kidul",2,1,1,100 m²,40 m²,Promo Launching Perdana 200Juta-an! Spesial Booking Fee Bulan Ini (Bonus AC & Kanopi) KPR Angsuran...,"Rumah
Dekat Fasilitas Kesehatan
Dekat Tempat Wisata"
Rumah Cantik Scandinavian di Karangmojo Gunungkidul Bisa Kpr SHM,Rp 280 Juta,"Karangmojo, Gunung Kidul",2,1,1,105 m²,40 m²,"Rumah Scandinavian di Karangmojo Wonosari Belakang SPBU Karangmojo, Dekat Wonosari Kota. Lokasi Asri...","Rumah
Dekat Fasilitas Kesehatan
Dekat Tempat Wisata"
Rumah Scandinavian Baru di Karangmojo Dekat Alun Alun Wonosari,Rp 280 Juta,"Karangmojo, Gunung Kidul",2,1,1,100 m²,40 m²,Rumah Scandinavian Baru Murah di Karangmojo Dekat Alun alun Wonosari Strategis. Dengan Spesifikasi:...,"Rumah
Dekat Fasilitas Kesehatan
Dekat Tempat Wisata"
Rumah Murah Strategis di Karangmojo Dekat Alun-Alun Wonosari Kota,Rp 280 Juta,"Karangmojo, Gunung Kidul",2,1,1,100 m²,40 m²,Promo Launching Perdana 200Juta-an! Spesial Booking Fee Bulan Ini (Bonus AC & Kanopi) KPR Angsuran...,"Rumah
Dekat Fasilitas Kesehatan
Dekat Tempat Wisata"
RUMAH CLASIK 2LT DI DEKAT JLS WONOSARI JOGJA INDONESIA,"Rp 3,85 Miliar","Patuk, Gunung Kidul",6,5,2,2100 m²,450 m²,Rumah Dijual Gunung Kidul Rumah Graha Bareta 2Lt Dekat JLS Jatimulyo Dlingo Tempatnya masih Asri...,Rumah
Rumah Scandinavian Murah di Wonosari Karangmojo Bisa Kpr SHM,Rp 280 Juta,"Karangmojo, Gunung Kidul",2,1,1,100 m²,40 m²,Promo Launching Perdana 200Juta-an! Spesial Booking Fee Bulan Ini (Bonus AC & Kanopi) KPR Angsuran...,"Rumah
Dekat Fasilitas Kesehatan
Dekat Tempat Wisata"
Harga Promo Rumah Cantik di Tengah Kota Wonosari,Rp 350 Juta,"Wonosari, Gunung Kidul",2,1,1,73 m²,45 m²,Perumahan Puri Langgeng wonosari Nama Proyek : Rumah C19 Puri Langgeng Harga : 350jt (PROMO SPESIAL...,"Rumah
Dekat Tempat Wisata"
Rumah Cantik Full Furnished Hanya 300JTAN Di Patuk,Rp 320 Juta,"Patuk, Gunung Kidul",2,1,1,70 m²,36 m²,RUMAH CANTIK FULL FURNISHED HANYA 300JTAN DI PATUK Rumah cantik full furnished hanya 300jtan di Patuk....,"Rumah
Full Furnished
Dekat Sekolah"
Rumah Scandinavian 200Jt an di Karangmojo Gunungkidul Dekat Uny,Rp 280 Juta,"Karangmojo, Gunung Kidul",2,1,1,100 m²,40 m²,Promo Launching Perdana 200Juta-an! Tersedia Kavling Murah Unit Terbatas: 100 m2 101 m2 102 m2 105...,"Rumah
Dekat Sekolah
Dekat Fasilitas Kesehatan
Dekat Tempat Wisata"
Paviliun Fully Furnished Di Patuk Dekat Wisata Gunung Kidul,Rp 425 Juta,"Patuk, Gunung Kidul",2,1,1,100 m²,36 m²,Hunian Nyaman dan Modern Dekat Wisata Gunung Kidul. Investasi Cerdas dengan Fasilitas Lengkap dan...,"Rumah
Full Furnished
Siap Huni
Dekat Tempat Wisata"
Rumah Murah Di Jogja Hanya 8 Menit Dari Heha Sky View,Rp 425 Juta,"Patuk, Gunung Kidul",2,1,1,100 m²,36 m²,"RUMAH MURAH DI JOGJA HANYA 8 MENIT DARI HEHA SKY VIEW KOPILIMO PAVILLION Lokasi : Patuk, Gunung Kidul,...","Rumah
Full Furnished
Dekat Tempat Wisata"
Rumah Baru 200jtan di Karangmojo Wonosari Dekat Wonosari Kota Kpr,Rp 280 Juta,"Karangmojo, Gunung Kidul",2,1,1,100 m²,40 m²,"Rumah Scandinavian di Karangmojo Wonosari Belakang SPBU Karangmojo, Dekat Wonosari Kota. Lokasi Asri...","Rumah
Dekat Sekolah
Dekat Fasilitas Kesehatan
Dekat Tempat Wisata"
Rumah Murah Full Furnish Di Patuk Dekat Heha Sky View,Rp 320 Juta,"Patuk, Gunung Kidul",2,1,1,70 m²,36 m²,"Rumah murah di jual cepat BU dalam cluster villa fasum lengkap dekat banyak tempat wisata, cocok...","Rumah
Full Furnished"
Dijual Villa Murah Dekat Heha Sky View Wonosari,Rp 425 Juta,"Wonosari, Gunung Kidul",2,1,2,100 m²,36 m²,"DIJUAL VILLA MURAH DEKAT HEHA SKY VIEW WONOSARI Lokasi: Wonosari, Semoyo,Patuk,Gunung Kidul,Yogyakarta...","Rumah
Full Furnished
Dekat Tempat Wisata"
Hanya 200 Jtan Rumah Scandinavian di Karangmojo Gunungkidul Jogja,Rp 280 Juta,"Karangmojo, Gunung Kidul",2,1,1,100 m²,40 m²,"Rumah Scandinavian di Karangmojo Wonosari Belakang SPBU Karangmojo, Dekat Wonosari Kota. Lokasi Asri...","Rumah
Dekat Fasilitas Kesehatan
Dekat Tempat Wisata"
