Judul,Harga,Lokasi,Kamar,Wc,Parkir,Luas_tanah,Luas_bangunan,Deskripsi,Keywords
Rumah Mewah Dijual Mlati Dalam Perum Elit Dekat Kota Strategis Nyaman Aman,Rp 4 Miliar,"Mlati, Sleman",4.0,2.0,2.0,307 m²,280 m²,"Rumah Mewah Dijual Mlati Spesifikasi : Rumah Mewah dalam Perum Elit, Dekat Kota, area Bisnis, Mirota,...",Rumah
RUMAH 2 IN 1 DEKAT BALE AGUNG RESIDENCE PURWOSARI MLATI JOGJA   DAERAH ISTIMEWA YOGYAKARTA,Rp 6 Miliar,"Mlati, Sleman",8.0,5.0,3.0,816 m²,630 m²,Rumah Dijual Sleman KONDISI OK AKSES JALAN 2 JALUR SANGAT MUDAH LINGKUNGAN NYAMAN DAN ASRI --> DEKAT...,"Rumah
Dekat Pusat Perbelanjaan
Dekat Sekolah
Dekat Fasilitas Kesehatan"
Rumah Strategis di Karangmojo Wonosari Dekat Uny Cab Gunungkidul,Rp 280 Juta,"Karangmojo, Gunung Kidul",2.0,1.0,1.0,100 m²,40 m²,Promo Launching Perdana 200Juta-an! Spesial Booking Fee Bulan Ini (Bonus AC & Kanopi) KPR Angsuran...,"Rumah
Dekat Sekolah
Dekat Fasilitas Kesehatan
Dekat Tempat Wisata"
Rumah Strategis Dekat Jl Magelang Yogyakarta Di Tempel Sleman,Rp 541 Juta,"Sleman, Yogyakarta",2.0,1.0,1.0,120 m²,36 m²,"Dijual Rumah Minimalis Modern dekat Jl magelang - Yogyakarta Alamat : Nglebeng, Margorejo, Kec. Tempel,...","Rumah
Bebas Banjir"
Rumah Mewah Dijual Kasihan Moern Kawasan Perum Elit Asri Nyaman Tenang,Rp 4 Miliar,"Kasihan, Bantul",5.0,5.0,2.0,455 m²,90 m²,"Rumah Mewah Dijual Kasihan Spesifikasi : Rumah Mewah, lingkungan Perum Elit, dekat POM bensin, tidak...","Rumah
Dekat Sekolah"
"Rumah Strategis Dekat Ringroad Blok O, 10 Menit Seturan Babarsari",Rp 598 Juta,"Piyungan, Bantul",2.0,1.0,1.0,89 m²,40 m²,"Rumah cantik di lokasi strategis Berbah, dekat dengan fasilitas umum dan menawarkan lingkungan yang...","Rumah
Dekat Pusat Perbelanjaan
Dekat Sekolah
Dekat Fasilitas Kesehatan"
Rumah Minimalis Siap Huni di Sleman Utara Dekat Resto Jejamuran,Rp 750 Juta,"Ngaglik, Sleman",3.0,2.0,1.0,125 m²,78 m²,"Dijual rumah siap huni dengan konsep minimalis di Donoharjo, Ngaglik, Sleman Kode : CORE 643 Detail...","Rumah
Siap Huni
Dekat Pusat Perbelanjaan
Dekat Sekolah"
Miliki Hunian Cantik Kekinian Desain Moderen Di Godean Sleman,Rp 450 Juta,"Mlati, Sleman",2.0,1.0,1.0,82 m²,50 m²,"Dijual Hunian Cantik Kekinian Desain Moderen Di Selatan Jl Godean Alamat: Sidoluhur, Kec. Godean,...","Rumah
Dekat Pusat Perbelanjaan
Dekat Sekolah
Dekat Tempat Ibadah"
"Unit Terakhir Rumah Baru di Kalasan, Harga Terjangkau 545 Juta",Rp 545 Juta,"Kalasan, Sleman",3.0,2.0,1.0,97 m²,55 m²,"Saatnya wujudkan impian punya rumah sendiri! Hadir, rumah baru dalam mini cluster idaman di lokasi...","Rumah
Dekat Pusat Perbelanjaan
Dekat Sekolah
Dekat Fasilitas Kesehatan"
Dijual Hunian Moderen Nyaman Strategis di Sleman Yogyakarta,Rp 592 Juta,"Sleman, Yogyakarta",2.0,1.0,1.0,104 m²,50 m²,"Dijual Hunian Cantik Strategis dekat Sleman City Hall Alamat: Jomblang, Sendangadi, Kec. Mlati, Kabupaten...","Rumah
Dekat Landmark"
Dijual Rumah Cluster Modern Ada Pool Dekat Jogja City Mall,"Rp 4,5 Miliar","Sleman, Yogyakarta",4.0,3.0,1.0,304 m²,258 m²,Spesifikasi: Luas tanah 304 m2 Luas bangunan 258 m2 Kamar tidur 4+1 Kamar mandi 3+1 2 Lantai Listrik...,"Rumah
Dekat Pusat Perbelanjaan
Dekat Sekolah"
Rumah Tanah Luas Sleman 265 Meter Halaman Luas,"Rp 1,2 Miliar","Kalasan, Sleman",4.0,1.0,1.0,265 m²,125 m²,"Rumah Minimalis Modern Halaman Luas LOKASI : PURWOMARTANI, SLEMAN, YOGYAKARTA Terjangkau. Siap huni....","Rumah
Siap Huni
Dekat Pusat Perbelanjaan
Dekat Sekolah"
Rumah Cantik Lingkungan Nyaman Lokasi di Berbah Sleman Yogyakarta,Rp 650 Juta,"Ngemplak, Sleman",3.0,2.0,1.0,116 m²,65 m²,"Rumah Impian 3 Kamar Tidur hanya 400 meter ke Jl Berbah-Sleman Kalitirto, Kec. Berbah, Kabupaten...","Rumah
Siap Huni
Dekat Akses Transportasi
Dekat Pusat Perbelanjaan"
Rumah di Dekat kawasan wisata candi borobudur SHM,Rp 299 Juta,"Caturtunggal, Yogyakarta",2.0,1.0,1.0,65 m²,36 m²,"Unit siap bangun, bisa custom design sesuai keinginan. Material terjamin dengan garansi. Garansi...","Rumah
Dekat Tempat Ibadah"
"Rumah Baru 2 Lantai Mewah Strategis Dalam Ringroad Di Perumahan Kutu Dukuh Sinduadi Mlati Sleman Dekat Tugu Jogja
 
lokasi Strategis Tengah Kota Dekat Tugu Jogja","Rp 2,9 Miliar","Mlati, Sleman",4.0,3.0,2.0,140 m²,172 m²,RUMAH BARU 2 LANTAI MEWAH STRATEGIS DALAM RINGROAD DI PERUMAHAN KUTU DUKUH SINDUADI MLATI SLEMAN...,"Rumah
Dekat Sekolah"
Rumah Mewah 2 Lantai dengan Kolam Renang dan Strategis @Sleman,"Rp 4,5 Miliar","Sleman, Sleman",4.0,3.0,1.0,304 m²,258 m²,Rumah Mewah 2 Lantai dengan Kolam Renang dan Strategis @Sleman Rumah dengan 4 kamar tidur dan 3 kamar...,Rumah
Rumah Moderen Dengan Lingkungan Yang Masih Asri di Berbah Sleman,Rp 470 Juta,"Kalasan, Sleman",3.0,1.0,1.0,80 m²,50 m²,"Rumah Siap Huni 400 Jt-an Dekat Wisata Lava Bantal Berbah Candirejo, Tegaltirto, Berbah, Sleman Kini...","Rumah
Siap Huni
Dekat Pusat Perbelanjaan
Dekat Sekolah"
Rumah Mewah Baru Dekat UII Jalan Kaliurang Km 13 Sukoharjo di Jaalan kaliurang km 13 Rumah 2 Lantai di Jaalan kaliurang km 13 SHM Rumah Baru,"Rp 2,8 Miliar","Ngaglik, Sleman",4.0,3.0,1.0,200 m²,180 m²,Rumah Mewah Baru Dekat UII Jalan Kaliurang Km 13 Sukoharjo Luas Tanah : 200 m2 Luas Bangunan : 180...,"Rumah
Dekat Sekolah
Dekat Landmark"
Jual Kos Jalan Kaliurang Dekat Kampus Uii,"Rp 4,5 Miliar","Ngaglik, Sleman",21.0,21.0,7.0,728 m²,596 m²,"JUAL KOS Lokasi : Sardonoharjo Ngaglik Sleman Yogyakarta ( jalan kaliurang km 12 ) Harga : 4,5 milyar...","Rumah
Dekat Sekolah
Dekat Landmark"
Rumah Baru Minimalis Modern Hook Di Jalan Kaliurang Km.12 Ngaglik Sleman Dekat Pondok Pandanaran,Rp 765 Juta,"Ngaglik, Sleman",3.0,2.0,2.0,130 m²,80 m²,RUMAH BARU MINIMALIS MODERN HOOK DI JALAN KALIURANG KM.12 NGAGLIK SLEMAN DEKAT PONDOK PANDANARAN...,"Rumah
Dekat Sekolah
Dekat Landmark"
Hunian Oke Siap Di Tempati Kodya Jln Batikan Yogya,Rp 650 Juta,"Pakualaman, Yogyakarta",2.0,2.0,1.0,100 m²,90 m²,Rumah Tengah Kota Lokasi Strategis Daerah Kodya Bangunan Berkualitas Dekat Kusumanegara Harga : Rp....,"Rumah
Siap Huni
Dekat Sekolah"
Rumah Baru Cantik Fully Furnished Scandinavian Dalam Perumahan Di Condong Catur Dekat Pakuwon Mall,Rp 799 Juta,"Condong Catur, Sleman",3.0,1.0,1.0,95 m²,75 m²,RUMAH BARU CANTIK FULLY FURNISHED SCANDINAVIAN DALAM PERUMAHAN DI CONDONG CATUR DEKAT PAKUWON MALL...,"Rumah
Full Furnished
Dekat Sekolah"
Miliki Hunian Tingkat Daerah Premium Condong Catur,Rp 825 Juta,"Depok, Sleman",3.0,2.0,1.0,100 m²,90 m²,Rumah Tingkat Dalam Perumahan Strategis Banget Di Condong Catur Area Kampus Dekat Ring Road Utara...,"Rumah
Siap Huni
Dekat Pusat Perbelanjaan
Dekat Sekolah"
Rumah Mewah Dekat Instiper Dan Sanata Dharma,"Rp 1,75 Miliar","Depok, Sleman",4.0,4.0,2.0,125 m²,140 m²,"Rumah mewah dekat Instiper, Sanata Dharma dan UPN LT 125 LB 140 Hunian yg nyaman, tenang, dalam perumahan,...","Rumah
Dekat Fasilitas Kesehatan
Dekat Tempat Wisata"
Jual Rumah Bantul Dalam Perumahan 10 Menit Ke Kampus Umy,Rp 477 Juta,"Kasihan, Bantul",2.0,1.0,1.0,119 m²,40 m²,Jual Rumah Bantul Dalam Perumahan 10 Menit Ke Kampus UMY. Rumah Dalam Perumahan Desain Scandinavian...,"Rumah
Dekat Pusat Perbelanjaan
Dekat Sekolah"
Rumah Dijual Bantul SHM + Imb 10 Menit Ke Kampus Umy,Rp 488 Juta,"Kasihan, Bantul",2.0,1.0,1.0,119 m²,40 m²,Rumah Dijual Bantul SHM + IMB 10 Menit Ke Kampus UMY. Rumah Dalam Perumahan Desain Scandinavian Lokasi...,"Rumah
Dekat Pusat Perbelanjaan
Dekat Sekolah"
Rumah Murah Minimalis Bantul Dalam Perumahan 10 Menit Ke Kampus Umy,Rp 451 Juta,"Kasihan, Bantul",2.0,1.0,1.0,153 m²,40 m²,Rumah Murah Minimalis Bantul Dalam Perumahan 10 Menit Ke Kampus UMY. Rumah Dalam Perumahan Desain...,"Rumah
Dekat Pusat Perbelanjaan
Dekat Sekolah"
Rumah Dijual Bantul Padat Perumahan Dekat Kampus Umy,Rp 454 Juta,"Kasihan, Bantul",2.0,1.0,1.0,153 m²,40 m²,Rumah Dijual Bantul Padat Perumahan Dekat Kampus UMY. Rumah Dalam Perumahan Desain Scandinavian Lokasi...,"Rumah
Dekat Pusat Perbelanjaan
Dekat Sekolah"
Jual Rumah Bantul Barat Alfamart Tugu Lilin Cocok Untuk Homestay,Rp 551 Juta,"Kasihan, Bantul",2.0,1.0,1.0,153 m²,40 m²,Jual Rumah Bantul Barat Alfamart Tugu Lilin Cocok Untuk Homestay. Rumah Dalam Perumahan Desain Scandinavian...,"Rumah
Dekat Pusat Perbelanjaan
Dekat Sekolah"
Jual Rumah Siap Huni Type Luas 80 104m2 Cuma 500 Juta di Kalasan Yogyakarta SHM Ready,Rp 500 Juta,"Kalasan, Sleman",3.0,2.0,1.0,104 m²,80 m²,Jual Rumah Siap Huni Type Luas 80/104m2 Cuma 500 Juta di Kalasan Yogyakarta SHM READY Spesifikasi:...,"Rumah
Siap Huni
Dekat Sekolah
Dekat Fasilitas Kesehatan"
RUMAH DI BACIRO,"Rp 3,6 Miliar","Gondokusuman, Yogyakarta",4.0,3.0,2.0,250 m²,230 m²,"Rumah Dijual Yogyakarta RUMAH ASRI MENHADAP TAMAN. LINGKUNGAN TENANG, NYAMAN, AMAN. ADA KOLAM IKAN...","Rumah
Dekat Sekolah
Dekat Fasilitas Kesehatan"
Rumah 2 Lantai di Dalam Perum Area Perkotaan di Babarsari,"Rp 2,2 Miliar","Caturtunggal, Sleman",3.0,2.0,1.0,130 m²,125 m²,"HF/MR/065066 Dijual rumah cantik 2 lantai di dalam perum dekat kampus UPN, Transmart Carrefour Maguwoharjo,...","Rumah
Dekat Pusat Perbelanjaan
Dekat Sekolah"
Rumah Klasik Dalam Kota Jogja Hanya Selangkah Ke Malioboro,"Rp 5,3 Miliar","Umbulharjo, Yogyakarta",7.0,4.0,1.0,369 m²,262 m²,Kode : Core-1048 Magnet Kawasan : - 900 meter dari Malioboro - 4 menit dari pasar Beringharjo - 4...,"Rumah
Dekat Akses Transportasi
Dekat Pusat Perbelanjaan"
Rumah Apik Kawasan Elite Lokasi Timur Amplaz Jogja,"Rp 6,5 Miliar","Depok, Sleman",4.0,4.0,1.0,372 m²,290 m²,"Dijual rumah yang berlokasi di Jogja, Sleman timur Amplaz. Masuk perumahan elite, lokasi ciamik tengah...","Rumah
Full Furnished
Dekat Akses Transportasi
Dekat Sekolah"
Rumah Murah Jogja Ala Jepang Ada Pos Security Dekat Brimob Sentolo,Rp 378 Juta,"Sedayu, Bantul",2.0,1.0,1.0,72 m²,36 m²,"Rumah Murah Jogja Ala Jepang Ada Pos Security Dekat Brimob Sentolo. Rumah murah Sentolo Kulon Progo,...","Rumah
Dekat Akses Transportasi"
Rumah Murah Full Furnished Jogja Jepang Modern Kulon Progo One Gate System,Rp 378 Juta,"Moyudan, Sleman",2.0,1.0,1.0,73 m²,36 m²,Rumah Murah Full Furnished Jogja Jepang Modern Kulon Progo One Gate System. Rumah murah Sentolo Kulon...,"Rumah
Full Furnished
Dekat Akses Transportasi"
Rumah Jogja Murah One Gate System Nuansa Jepang Jalan Wates,Rp 537 Juta,"Sentolo, Kulon Progo",2.0,1.0,1.0,76 m²,36 m²,"Rumah Jogja Murah One Gate System Nuansa Jepang Jalan Wates. Rumah murah Sentolo Kulon Progo, Jogja...","Rumah
Dekat Akses Transportasi"
Rumah Murah Full Furnished di Jogja Ada Taman Bermain Desain Jepang Area Exit Tol Sentolo,Rp 378 Juta,"Godean, Sleman",2.0,1.0,1.0,71 m²,36 m²,Rumah Murah Full Furnished di Jogja Ada Taman Bermain Desain Jepang Area Exit Tol Sentolo. Rumah...,"Rumah
Full Furnished
Dekat Akses Transportasi"
Awal Bahagia Bersama Beli Rumah Nikah Gratis di Jogja Barat,Rp 538 Juta,"Sentolo, Kulon Progo",2.0,1.0,1.0,137 m²,36 m²,"Rumah murah Sentolo Kulon Progo, Jogja dekat. Lokasi di selatan markas brimob Sentolo, dekat calon...","Rumah
Dekat Akses Transportasi"
Rumah Scandinavian Cantik di Bantul Dekat Rsud Bantul,Rp 300 Juta,"Jetis, Bantul",2.0,1.0,1.0,66 m²,36 m²,"Menghadirkan rumah baru siap bangun dengan konsep scandinavian cantik di Jetis, Bantul Kode : CORE...","Rumah
Dekat Pusat Perbelanjaan
Dekat Sekolah"
"Teristimewa Hanya 5 Menit Saja Ke Budi Mulia, Free Canopy",Rp 775 Juta,"Purwomartani   , Sleman",3.0,2.0,1.0,120 m²,80 m²,Kode :Core-1169 Magnet Kawasan : - 5 menit ke SMA Budi Mulia 2 - 7 menit ke Jogjabay Maguwo - 7 menit...,"Rumah
Dekat Pusat Perbelanjaan
Dekat Sekolah
Dekat Tempat Wisata"
Jual Rumah Di Sewon Jalan Imogiri Barat,Rp 500 Juta,"Sewon, Bantul",3.0,2.0,4.0,251 m²,140 m²,JUAL RUMAH Lokasi : Jalan Imogiri Barat Sewon Bantul Yogyakarta Harga 500 juta Note : Pembayaran...,Rumah
Tanah Shm 100 M² 5 Menit Dari Ambarukmo Plaza,Rp 550 Juta,"Berbah, Sleman",,,1.0,,,PROMO TANAH KAVLING SIAP BANGUN LOKASI PALING STRATEGIS DI BERBAH Harga 5.5 jt/m² nego ✓ BISA DI...,"Rumah
Dekat Akses Transportasi
Dekat Pusat Perbelanjaan
Dekat Sekolah"
Rumah di Jogja Seberang Waterpark Citragrand Lingkungan Perumahan,"Rp 2,74 Miliar","Gamping, Sleman",4.0,3.0,2.0,187 m²,135 m²,Rumah di Jogja Seberang Waterpark Citragrand Lingkungan Perumahan. New Verania adalah sebuah cluster...,"Rumah
Dekat Sekolah"
Rumah 2 Lantai Jogja Dekat Citragrand Gamping Lingkungan Perumahan,"Rp 2,74 Miliar","Gamping, Sleman",4.0,3.0,2.0,187 m²,135 m²,Rumah 2 Lantai Jogja Dekat Citragrand Gamping Lingkungan Perumahan. New Verania adalah sebuah cluster...,"Rumah
Dekat Sekolah"
Rumah Mewah Sleman Lingkungan Perumahan,"Rp 2,9 Miliar","Gamping, Sleman",2.0,1.0,2.0,213 m²,135 m²,Rumah Mewah Sleman Lingkungan Perumahan. New Verania adalah sebuah cluster rumah mewah dengan kolam...,"Rumah
Dekat Sekolah"
Rumah 2 Lantai Jogja Include Private Pool,"Rp 2,9 Miliar","Gamping, Sleman",4.0,3.0,2.0,213 m²,135 m²,Rumah 2 Lantai Jogja Include Private Pool. New Verania adalah sebuah cluster rumah mewah dengan kolam...,"Rumah
Dekat Sekolah"
Rumah Mewah Sleman SHM + Imb Seberang Waterpark Citragrand,"Rp 2,9 Miliar","Gamping, Sleman",4.0,3.0,2.0,213 m²,135 m²,Rumah Mewah Sleman SHM + IMB Seberang Waterpark Citragrand. New Verania adalah sebuah cluster rumah...,"Rumah
Dekat Sekolah"
Rumah Dekat Uad Proses Bangun 3 Kt di Kauman Pleret Jogja Selatan,Rp 547 Juta,"Plered, Bantul",3.0,1.0,2.0,96 m²,55 m²,"Rumah dekat UAD Proses Bangun 3 KT di Kauman Pleret Jogja Selatan Lokasi: Kauman, Pleret, Bantul,...",Rumah
"MURAH BANGET
MURAH BANGET
MURAH BANGET

RUMAH BARU CANTIK MINIMALIS SIAP HUNI - HARGA SUPER EKONOMIS DI DEKAT PASAR PLERED BANTUL",Rp 450 Juta,"Plered, Bantul",2.0,1.0,2.0,97 m²,40 m²,MURAH BANGET MURAH BANGET MURAH BANGET RUMAH BARU CANTIK MINIMALIS SIAP HUNI - HARGA SUPER EKONOMIS...,"Rumah
Siap Huni
Dekat Fasilitas Kesehatan"
Jual Rumah Siap Huni Luas Konsep Industrial Type 73 124m2 di Kalasan Yogyakarta,Rp 835 Juta,"Kalasan, Sleman",3.0,1.0,1.0,124 m²,73 m²,Jual Rumah Siap Huni Luas Konsep Industrial Type 73/124m2 di Kalasan Yogyakarta Spesifikasi: Luas...,"Rumah
Siap Huni
Dekat Akses Transportasi
Dekat Sekolah"
Rumah Siap Huni dekat RS PKU Bantul di Jl Selarong Pajangan Bantul,Rp 285 Juta,"Pajangan, Bantul",2.0,1.0,1.0,61 m²,40 m²,"Rumah Siap Huni dekat RS PKU Bantul di Jl Selarong Pajangan Bantul Lokasi: Kentolan, Guwosari, Pajangan,...","Rumah
Siap Huni
Dekat Sekolah
Dekat Fasilitas Kesehatan"
Rumah Cantik Cocok Untuk Homestay Full Furnished di Yogyakarta Jawa Tengah,"Rp 6,2 Miliar","Gamping, Sleman",5.0,8.0,3.0,381 m²,550 m²,Rumah Dijual Sleman Dijual Cepat Rumah Cantik Cocok Untuk Homestay Full Furnished di Yogyakarta Jawa...,"Rumah
Full Furnished
Dekat Sekolah
Dekat Fasilitas Kesehatan"
Rumah Etnik Jawa Sangat Strategis Di Lingkungan Kraton Jogjakarta,Rp 18 Miliar,"Kraton, Yogyakarta",8.0,5.0,1.0,851 m²,830 m²,JUAL CEPAT RUMAH ETNIK JAWA DI TENGAH KOTA JOGJAKARTA Lokasi sangat Strategis tengah Kota di lingkungan...,"Rumah
Dekat Tempat Wisata"
Kos Exclusive 12 Kamar Area Kampus Sleman,"Rp 2,95 Miliar","Condong Catur, Sleman",12.0,12.0,2.0,139 m²,250 m²,"Dijual Kos Exclusive siap bangun 12 kamar Lokasi strategis jl anggajaya, area terminal condongcatur...","Rumah
Full Furnished
Dekat Pusat Perbelanjaan
Dekat Sekolah"
Dijual Kos Exclusive Baru Lokasi Strategis Dekat Ugm,"Rp 2,4 Miliar","Condong Catur, Sleman",10.0,10.0,1.0,103 m²,160 m²,"*Dijual KOS EXCLUSIVE baru 10kamar Jakal Km 6 Dekat ke UGM* Lokasi strategis Kayen, Jakal km 6 Potensi...","Rumah
Full Furnished
Dekat Sekolah"
TANAH LOKASI STRATEGIS BONUS RUMAH 2 LANTAI SELANGKAH MALIOBORO DI TENGAH PUSAT KOTA YOGYAKARTA,"Rp 1,8 Miliar","Umbulharjo, Yogyakarta",2.0,2.0,2.0,272 m²,540 m²,Rumah Dijual Yogyakarta LOKASI : JALAN GAJAH (KURANG LEBIH ± 200 METER DARI JALAN KUSUMANEGARA) LUAS...,"Rumah
Dekat Pusat Perbelanjaan
Dekat Sekolah
Dekat Fasilitas Kesehatan"
TANAH LOKASI STRATEGIS BONUS RUMAH 2 LANTAI SELANGKAH MALIOBORO DI TENGAH PUSAT KOTA YOGYAKARTA,"Rp 1,8 Miliar","Umbulharjo, Yogyakarta",2.0,2.0,2.0,272 m²,540 m²,Rumah Dijual Yogyakarta LOKASI : JALAN GAJAH (KURANG LEBIH ± 200 METER DARI JALAN KUSUMANEGARA) LUAS...,"Rumah
Dekat Pusat Perbelanjaan
Dekat Sekolah
Dekat Fasilitas Kesehatan"
RUMAH TRADISIONAL KLASIK 2 LANTAI MANGKU ASPAL LOKASI STRATEGIS 0 KM MALIOBORO DI PUSAT KOTA YOGYAKARTA,"Rp 7,5 Miliar","Gondomanan, Yogyakarta",5.0,3.0,3.0,243 m²,212 m²,"Rumah Dijual Yogyakarta LOKASI : DI PINGGIR JALAN IBU RUSWO, PRAWIRODIRJAN, GONDOMANAN, KOTA YOGYAKARTA...","Rumah
Dekat Pusat Perbelanjaan
Dekat Fasilitas Kesehatan
Dekat Tempat Wisata"
Dijual Rumah Murah Pinggir Jalan Utama Bisa Untuk Usaha,"Rp 1,2 Miliar","Banguntapan, Bantul",4.0,2.0,3.0,158 m²,150 m²,Dijual Rumah Murah bisa untuk usaha mangku jalan utama dua Lantai Luas tanah 158meter² Bangunan 150meter...,"Rumah
Dekat Landmark"
"Rumah Mewah Baru Dalam Perumahan Dengan Kolam Renang Pribadi Di Utara Sch Jl Magelang

luas Tanah : 158 M2
luas Bangunan : 180 M2
jumlah Lantai : 2
kamar Tidur : 4 + 1
kamar Mandi : 4

ruang Tamu, Ruang Keluarga, Ruang Makan
dapur, Carport, Taman, Balkon,","Rp 2,9 Miliar","Sleman, Sleman",4.0,5.0,2.0,158 m²,180 m²,Rumah Mewah Baru Dalam Perumahan Dengan Kolam Renang Pribadi di Utara SCH JL Magelang Luas Tanah...,"Rumah
Dekat Fasilitas Kesehatan
Dekat Landmark"
Rumah Hanya 200m Ke Alunalun Pemda Dikota Wonosari GK,Rp 1 Miliar,"Wonosari, Gunung Kidul",4.0,2.0,1.0,128 m²,180 m²,"Rumah 2 Lantai, lokasi strategis dengan akses: 200m dari Kantor Pemda Gunung Kidul 50m ke jalan utama...","Rumah
Dekat Fasilitas Kesehatan"
Rumah Hanya 200m Ke Alunalun Pemda Dikota Wonosari GK,Rp 1 Miliar,"Wonosari, Gunung Kidul",4.0,2.0,1.0,128 m²,180 m²,"Rumah 2 Lantai, lokasi strategis dengan akses: 200m dari Kantor Pemda Gunung Kidul 50m ke jalan utama...","Rumah
Dekat Fasilitas Kesehatan"
Jual Rumah Di Jongke Sleman,"Rp 1,9 Miliar","Mlati, Sleman",3.0,2.0,1.0,136 m²,165 m²,"JUAL RUMAH ( dalam perumahan ) Lokasi : Jongke Mlati Sleman Yogyakarta Harga : 1,9 milyar nego •...","Rumah
Dekat Sekolah"
Jual Rumah Di Wirosaban Yogyakarta,"Rp 2,5 Miliar","Umbulharjo, Yogyakarta",6.0,4.0,2.0,162 m²,350 m²,"JUAL RUMAH ( dalam perumahan ) Lokasi : Wirosaban Umbulharjo Yogyakarta Harga 2,5 milyar nego • Luas...","Rumah
Dekat Sekolah
Dekat Fasilitas Kesehatan"
Dijual Rumah Mewah Dalam Perumahan Elite Jln Godean Km4 Titibumi,"Rp 1,3 Miliar","Gamping, Sleman",4.0,3.0,1.0,135 m²,180 m²,"Dijual rumah mewah dalam perumahan elite di jalan Godean km 4, seputaran Titibumi. Harga 1,3 Milyar...","Rumah
Dekat Sekolah
Dekat Fasilitas Kesehatan"
Rumah Mewah Dalam Cluster Di Jalan Palagan Km 9,"Rp 1,35 Miliar","Sleman, Yogyakarta",3.0,3.0,2.0,94 m²,120 m²,"Rumah Mewah Dalam Cluster di Jalan Palagan KM 9 dekat Hyatt, Masjid Suciati, UGM dan Monjali Total...","Rumah
Dekat Sekolah
Dekat Tempat Ibadah
Dekat Landmark"
Vila Mewah Dekat Malioboro Jogya,Rp 23 Miliar,"Kraton, Yogyakarta",5.0,7.0,3.0,496 m²,1000 m²,Dijual villa mewah & aktif dalam pusat kota Jogja lokasi dekat sekali malioboro kodya Yogyakarta...,"Rumah
Full Furnished"
"Rumah Proses Bangun Di Jalan Kaliurang Km 12,5",Rp 985 Juta,"Kaliurang, Sleman",3.0,2.0,1.0,118 m²,72 m²,"Rumah Proses Bangun di Jalan Kaliurang KM 12,5 dekat Kampus UII Model Industrial PRICELIST :...","Rumah
Dekat Sekolah
Dekat Landmark"
Rumah Modern Scandinavian Wedomartani Ngemplak Sleman,Rp 772 Juta,"Ngemplak, Sleman",3.0,2.0,1.0,129 m²,60 m²,RUMAH BARU CANTIK MODERN - DESAIGN SCANDINAVIAN 3 UNIT DI WEDOMARTANI NGEMPLAK SLEMAN TATA RUANG...,"Rumah
Dekat Sekolah"
Rumah Mewah Semi Furniture Di Kota Gede,Rp 2 Miliar,"Kotagede, Yogyakarta",4.0,4.0,2.0,104 m²,120 m²,JARANG ADA MEWAH SEMI FURNISHED CLUSTER PUSAT KOTA DI KOTAGEDE Rumah baru Cluster Ekslussif di Plumbon...,"Rumah
Full Furnished
Siap Huni
Dekat Sekolah"
"Rumah Dalam Perumahan JL Kaliurang Km 7 Condongcatur Dekat UGM

Lu","Rp 2,2 Miliar","Condong Catur, Sleman",3.0,3.0,2.0,154 m²,200 m²,Rumah Dalam Perumahan JL Kaliurang Km 7 Condongcatur Dekat UGM Luas Tanah : 154 m2 Luas Bangunan...,"Rumah
Dekat Sekolah
Dekat Landmark"
"Rumah Pesan Bangun Lantai Mezzanine di Purwomartani, Kalasan",Rp 450 Juta,"Kalasan, Sleman",2.0,1.0,1.0,63 m²,52 m²,Dapatkan Rumah Siap Bangun Lantai Mezzanine Design Bebas Pilih Legalitas SHM & PBG/IMB Lokasi strategis...,"Rumah
Dekat Akses Transportasi
Dekat Fasilitas Kesehatan
Dekat Tempat Wisata"
Cari Villa Dijual Palagan Utara Kota Jogja,"Rp 9,5 Miliar","Pogung, Yogyakarta",4.0,3.0,2.0,1059 m²,120 m²,"Rumah Villa Estetik lingkungan asri di sebelah Utara Yogyakarta. 30 menit dari Bandara Adisucipto,20...","Rumah
Dekat Akses Transportasi"
"Rumah 2 Lantai Scandinavian di Maguwo, 900 Jutaan, Asri Strategis",Rp 999 Juta,"Seturan, Yogyakarta",3.0,3.0,1.0,103 m²,100 m²,Cari rumah dua lantai dengan konsep Scandinavian yang cantik? Ini dia! Hunian siap huni di Maguwoharjo...,"Rumah
Siap Huni
Dekat Sekolah
Dekat Fasilitas Kesehatan"
Rumah Baru Model Joglo Moderen Di Nglinggi,Rp 385 Juta,"Bantul, Bantul",2.0,1.0,1.0,81 m²,36 m²,Rumah Baru Model Joglo Moderen Di Nglinggi Nikmati rumah baru yang mengutamakan kenyamanan dengan...,"Rumah
Dekat Sekolah"
Rumah Konsep Townhouse di Sleman Dekat Sleman City Hall,"Rp 1,72 Miliar","Ngaglik, Sleman",3.0,3.0,1.0,136 m²,111 m²,Menghadirkan perumahan dengan konsep townhouse heritage di Sleman Utara Kode : ATK Detail Perumahan...,"Rumah
Dekat Sekolah
Dekat Landmark"
Rumah Baru Model Joglo Moderen Di Nglinggi,Rp 385 Juta,"Kalasan, Sleman",2.0,1.0,1.0,81 m²,36 m²,Rumah Baru Model Joglo Moderen Di Nglinggi Nikmati rumah baru yang mengutamakan kenyamanan dengan...,"Rumah
Dekat Sekolah"
